common name,scientific name,status,which country
Common Chiffchaff,Phylloscopus collybita,Migrant (Non-Breeding),Ghana not Sierra Leone
Common Whitethroat,Curruca communis,Migrant (Non-Breeding),Ghana not Sierra Leone
Damara Tern,Sternula balaenarum,Migrant (Non-Breeding),Ghana not Sierra Leone
European Roller,Coracias garrulus,Migrant (Non-Breeding),Ghana not Sierra Leone
Jacobin Cuckoo,Clamator jacobinus,Migrant (Non-Breeding),Ghana not Sierra Leone
Montagu`s Harrier,Circus pygargus,Migrant (Non-Breeding),Ghana not Sierra Leone
Red-billed Quelea,Quelea quelea,Migrant (Non-Breeding),Ghana not Sierra Leone
Red-footed Falcon,Falco vespertinus,Migrant (Non-Breeding),Ghana not Sierra Leone
Rosy Bee-eater,Merops malimbicus,Migrant (Non-Breeding),Ghana not Sierra Leone
Rufous-tailed Scrub Robin,Cercotrichas galactotes,Migrant (Non-Breeding),Ghana not Sierra Leone
Savi`s Warbler,Locustella luscinioides,Migrant (Non-Breeding),Ghana not Sierra Leone
Scissor-tailed Kite,Chelictinia riocourii,Migrant (Non-Breeding),Ghana not Sierra Leone
Secretarybird,Sagittarius serpentarius,Migrant (Non-Breeding),Ghana not Sierra Leone
Short-toed Snake Eagle,Circaetus gallicus,Migrant (Non-Breeding),Ghana not Sierra Leone
Spotted Redshank,Tringa erythropus,Migrant (Non-Breeding),Ghana not Sierra Leone
Western Bonelli`s Warbler,Phylloscopus bonelli,Migrant (Non-Breeding),Ghana not Sierra Leone
Western Olivaceous Warbler,Iduna opaca,Migrant (Non-Breeding),Ghana not Sierra Leone
Bronze-winged Courser,Rhinoptilus chalcopterus,Migrant (Breeding),Ghana not Sierra Leone
Cut-throat Finch,Amadina fasciata,Migrant (Breeding),Ghana not Sierra Leone
Streaky-breasted Flufftail,Sarothrura boehmi,Migrant (Breeding),Ghana not Sierra Leone
Striped Crake,Aenigmatolimnas marginalis,Migrant (Breeding),Ghana not Sierra Leone
Abyssinian Ground Hornbill,Bucorvus abyssinicus,Resident,Ghana_not Liberia
African Blue Flycatcher,Elminia longicauda,Resident,Ghana_not Liberia
African Hawk-Eagle,Aquila spilogaster,Resident,Ghana_not Liberia
African Silverbill,Euodice cantans,Resident,Ghana_not Liberia
African Spotted Creeper,Salpornis salvadori,Resident,Ghana_not Liberia
Barka Indigobird,Vidua larvaticola,Resident,Ghana_not Liberia
Bearded Barbet,Lybius dubius,Resident,Ghana_not Liberia
Beautiful Sunbird,Cinnyris pulchellus,Resident,Ghana_not Liberia
Black-backed Cisticola,Cisticola eximius,Resident,Ghana_not Liberia
Black-bellied Bustard,Lissotis melanogaster,Resident,Ghana_not Liberia
Black-bellied Seedcracker,Pyrenestes ostrinus,Resident,Ghana_not Liberia
Black-billed Wood Dove,Turtur abyssinicus,Resident,Ghana_not Liberia
Black-faced Firefinch,Lagonosticta larvata,Resident,Ghana_not Liberia
Black-headed Bee-eater,Merops breweri,Resident,Ghana_not Liberia
Black-headed Lapwing,Vanellus tectus,Resident,Ghana_not Liberia
Black-headed Weaver,Ploceus melanocephalus,Resident,Ghana_not Liberia
Black-rumped Buttonquail,Turnix nanus,Resident,Ghana_not Liberia
Black-rumped Waxbill,Estrilda troglodytes,Resident,Ghana_not Liberia
Black Scimitarbill,Rhinopomastus aterrimus,Resident,Ghana_not Liberia
Blackcap Babbler,Turdoides reinwardtii,Resident,Ghana_not Liberia
Blue-bellied Roller,Coracias cyanogaster,Resident,Ghana_not Liberia
Bronze-tailed Starling,Lamprotornis chalcurus,Resident,Ghana_not Liberia
Brown-backed Woodpecker,Dendropicos obsoletus,Resident,Ghana_not Liberia
Brown-rumped Bunting,Emberiza affinis,Resident,Ghana_not Liberia
Brown-throated Martin,Riparia paludicola,Resident,Ghana_not Liberia
Brown Babbler,Turdoides plebejus,Resident,Ghana_not Liberia
Bruce`s Green Pigeon,Treron waalia,Resident,Ghana_not Liberia
Cabanis`s Bunting,Emberiza cabanisi,Resident,Ghana_not Liberia
Cameroon Indigobird,Vidua camerunensis,Resident,Ghana_not Liberia
Chestnut-bellied Starling,Lamprotornis pulcher,Resident,Ghana_not Liberia
Chestnut-crowned Sparrow-Weaver,Plocepasser superciliosus,Resident,Ghana_not Liberia
Crested Lark,Galerida cristata,Resident,Ghana_not Liberia
Cuckoo-finch,Anomalospiza imberbis,Resident,Ghana_not Liberia
Dark Chanting Goshawk,Melierax metabates,Resident,Ghana_not Liberia
Dorst`s Cisticola,Cisticola guinea,Resident,Ghana_not Liberia
Emin`s Shrike,Lanius gubernator,Resident,Ghana_not Liberia
Exclamatory Paradise Whydah,Vidua interjecta,Resident,Ghana_not Liberia
Familiar Chat,Oenanthe familiaris,Resident,Ghana_not Liberia
Fine-spotted Woodpecker,Campethera punctuligera,Resident,Ghana_not Liberia
Flappet Lark,Mirafra rufocinnamomea,Resident,Ghana_not Liberia
Gabar Goshawk,Micronisus gabar,Resident,Ghana_not Liberia
Golden-breasted Bunting,Emberiza flaviventris,Resident,Ghana_not Liberia
Golden-tailed Woodpecker,Campethera abingoni,Resident,Ghana_not Liberia
Greater Blue-eared Starling,Lamprotornis chalybaeus,Resident,Ghana_not Liberia
Greater Swamp Warbler,Acrocephalus rufescens,Resident,Ghana_not Liberia
Green Wood Hoopoe,Phoeniculus purpureus,Resident,Ghana_not Liberia
Grey-headed Bushshrike,Malaconotus blanchoti,Resident,Ghana_not Liberia
Grey-headed Oliveback,Delacourella capistrata,Resident,Ghana_not Liberia
Grey Parrot,Psittacus erithacus,Resident,Ghana_not Liberia
Heuglin`s Masked Weaver,Ploceus heuglini,Resident,Ghana_not Liberia
Horus Swift,Apus horus,Resident,Ghana_not Liberia
Jambandu Indigobird,Vidua raricola,Resident,Ghana_not Liberia
Kittlitz`s Plover,Charadrius pecuarius,Resident,Ghana_not Liberia
Little Rush Warbler,Bradypterus baboecala,Resident,Ghana_not Liberia
Little Weaver,Ploceus luteolus,Resident,Ghana_not Liberia
Marsh Owl,Asio capensis,Resident,Ghana_not Liberia
Martial Eagle,Polemaetus bellicosus,Resident,Ghana_not Liberia
Mourning Collared Dove,Streptopelia decipiens,Resident,Ghana_not Liberia
Northern Black Flycatcher,Melaenornis edolioides,Resident,Ghana_not Liberia
Northern Crombec,Sylvietta brachyura,Resident,Ghana_not Liberia
Northern Red-billed Hornbill,Tockus erythrorhynchus,Resident,Ghana_not Liberia
Northern Red Bishop,Euplectes franciscanus,Resident,Ghana_not Liberia
Orange-breasted Bushshrike,Chlorophoneus sulfureopectus,Resident,Ghana_not Liberia
Ovambo Sparrowhawk,Accipiter ovampensis,Resident,Ghana_not Liberia
Pale-fronted Nigrita,Nigrita luteifrons,Resident,Ghana_not Liberia
Pale Flycatcher,Agricola pallidus,Resident,Ghana_not Liberia
Piapiac,Ptilostomus afer,Resident,Ghana_not Liberia
Pied-winged Swallow,Hirundo leucosoma,Resident,Ghana_not Liberia
Purple Starling,Lamprotornis purpureus,Resident,Ghana_not Liberia
Quailfinch Indigobird,Vidua nigeriae,Resident,Ghana_not Liberia
Red-cheeked Cordon-bleu,Uraeginthus bengalus,Resident,Ghana_not Liberia
Red-headed Lovebird,Agapornis pullarius,Resident,Ghana_not Liberia
Red-headed Weaver,Anaplectes rubriceps,Resident,Ghana_not Liberia
Red-necked Falcon,Falco chicquera,Resident,Ghana_not Liberia
Red-throated Bee-eater,Merops bulocki,Resident,Ghana_not Liberia
Red-winged Pytilia,Pytilia phoenicoptera,Resident,Ghana_not Liberia
Rufous Cisticola,Cisticola rufus,Resident,Ghana_not Liberia
Saddle-billed Stork,Ephippiorhynchus senegalensis,Resident,Ghana_not Liberia
Sahel Bush Sparrow,Gymnoris dentata,Resident,Ghana_not Liberia
Scarlet-chested Sunbird,Chalcomitra senegalensis,Resident,Ghana_not Liberia
Senegal Parrot,Poicephalus senegalus,Resident,Ghana_not Liberia
Slender-billed Weaver,Ploceus pelzelni,Resident,Ghana_not Liberia
Speckle-fronted Weaver,Sporopipes frontalis,Resident,Ghana_not Liberia
Speckled Pigeon,Columba guinea,Resident,Ghana_not Liberia
Spotted Thick-knee,Burhinus capensis,Resident,Ghana_not Liberia
Stone Partridge,Ptilopachus petrosus,Resident,Ghana_not Liberia
Sun Lark,Galerida modesta,Resident,Ghana_not Liberia
Swamp Flycatcher,Muscicapa aquatica,Resident,Ghana_not Liberia
Temminck`s Courser,Cursorius temminckii,Resident,Ghana_not Liberia
Togo Paradise Whydah,Vidua togoensis,Resident,Ghana_not Liberia
Village Indigobird,Vidua chalybeata,Resident,Ghana_not Liberia
Vitelline Masked Weaver,Ploceus vitellinus,Resident,Ghana_not Liberia
West African Seedeater,Crithagra canicapilla,Resident,Ghana_not Liberia
Western Banded Snake Eagle,Circaetus cinerascens,Resident,Ghana_not Liberia
Western Violet-backed Sunbird,Anthreptes longuemarei,Resident,Ghana_not Liberia
White-bellied Bustard,Eupodotis senegalensis,Resident,Ghana_not Liberia
White-billed Buffalo Weaver,Bubalornis albirostris,Resident,Ghana_not Liberia
White-breasted Cuckooshrike,Ceblepyris pectoralis,Resident,Ghana_not Liberia
White-crested Helmetshrike,Prionops plumatus,Resident,Ghana_not Liberia
White-crowned Cliff Chat,Thamnolaea coronata,Resident,Ghana_not Liberia
White-crowned Robin-Chat,Cossypha albicapillus,Resident,Ghana_not Liberia
White-fronted Black Chat,Oenanthe albifrons,Resident,Ghana_not Liberia
White-headed Vulture,Trigonoceps occipitalis,Resident,Ghana_not Liberia
White-rumped Seedeater,Crithagra leucopygia,Resident,Ghana_not Liberia
White-throated Francolin,Campocolinus albogularis,Resident,Ghana_not Liberia
Wilson`s Indigobird,Vidua wilsoni,Resident,Ghana_not Liberia
Yellow-bellied Hyliota,Hyliota flavigaster,Resident,Ghana_not Liberia
Yellow-billed Oxpecker,Buphagus africanus,Resident,Ghana_not Liberia
Yellow-billed Shrike,Lanius corvinus,Resident,Ghana_not Liberia
Yellow-breasted Apalis,Apalis flavida,Resident,Ghana_not Liberia
Yellow-fronted Tinkerbird,Pogoniulus chrysoconus,Resident,Ghana_not Liberia
Yellow-throated Leaflove,Atimastillas flavicollis,Resident,Ghana_not Liberia
Yellow Penduline Tit,Anthoscopus parvulus,Resident,Ghana_not Liberia
African Sacred Ibis,Threskiornis aethiopicus,Migrant (Non-Breeding),Ghana_not Liberia
American Golden Plover,Pluvialis dominica,Migrant (Non-Breeding),Ghana_not Liberia
Black Kite,Milvus migrans,Migrant (Non-Breeding),Ghana_not Liberia
Black Stork,Ciconia nigra,Migrant (Non-Breeding),Ghana_not Liberia
Bluethroat,Luscinia svecica,Migrant (Non-Breeding),Ghana_not Liberia
Chestnut-backed Sparrow-Lark,Eremopterix leucotis,Migrant (Non-Breeding),Ghana_not Liberia
Common Chiffchaff,Phylloscopus collybita,Migrant (Non-Breeding),Ghana_not Liberia
European Roller,Coracias garrulus,Migrant (Non-Breeding),Ghana_not Liberia
European Turtle Dove,Streptopelia turtur,Migrant (Non-Breeding),Ghana_not Liberia
Great White Pelican,Pelecanus onocrotalus,Migrant (Non-Breeding),Ghana_not Liberia
Jacobin Cuckoo,Clamator jacobinus,Migrant (Non-Breeding),Ghana_not Liberia
Lesser Crested Tern,Thalasseus bengalensis,Migrant (Non-Breeding),Ghana_not Liberia
Red-billed Quelea,Quelea quelea,Migrant (Non-Breeding),Ghana_not Liberia
Rosy Bee-eater,Merops malimbicus,Migrant (Non-Breeding),Ghana_not Liberia
Rufous-tailed Scrub Robin,Cercotrichas galactotes,Migrant (Non-Breeding),Ghana_not Liberia
Savi`s Warbler,Locustella luscinioides,Migrant (Non-Breeding),Ghana_not Liberia
Secretarybird,Sagittarius serpentarius,Migrant (Non-Breeding),Ghana_not Liberia
Short-toed Snake Eagle,Circaetus gallicus,Migrant (Non-Breeding),Ghana_not Liberia
Terek Sandpiper,Xenus cinereus,Migrant (Non-Breeding),Ghana_not Liberia
Western Bonelli`s Warbler,Phylloscopus bonelli,Migrant (Non-Breeding),Ghana_not Liberia
Bronze-winged Courser,Rhinoptilus chalcopterus,Migrant (Breeding),Ghana_not Liberia
Cut-throat Finch,Amadina fasciata,Migrant (Breeding),Ghana_not Liberia
Denham`s Bustard,Neotis denhami,Migrant (Breeding),Ghana_not Liberia
Four-banded Sandgrouse,Pterocles quadricinctus,Migrant (Breeding),Ghana_not Liberia
Namaqua Dove,Oena capensis,Migrant (Breeding),Ghana_not Liberia
